LATITUDE;LONGITUDE;ANNUAL
-31,00;-55,35;4889
-31,00;-55,25;4896
-31,00;-55,15;4895
-31,00;-55,05;4917
-31,00;-54,95;4907
-31,00;-54,85;4910
-31,00;-54,75;4899
-31,00;-54,65;4892
-31,00;-54,55;4898
-31,00;-54,45;4892
-31,00;-54,35;4904
-31,00;-54,25;4897
-31,00;-54,15;4869
-31,00;-54,05;4826
-31,00;-53,95;4795
-31,00;-53,85;4793
-31,00;-53,75;4785
-31,00;-53,65;4767
-31,00;-53,55;4749
-31,00;-53,45;4734
-31,00;-53,35;4734
-31,00;-53,25;4715
-31,00;-53,15;4673
-31,00;-53,05;4662
-31,00;-52,95;4662
-31,00;-52,85;4666
-31,00;-52,75;4652
-31,00;-52,65;4625
-31,00;-52,55;4617
-31,00;-52,45;4619
-31,00;-52,35;4594
-31,00;-52,25;4589
-31,00;-52,15;4587
-31,00;-52,05;4580
-31,00;-51,95;4578
-31,00;-51,85;4578
-31,00;-51,75;4605
-31,00;-51,65;4636
-31,00;-51,55;4692
-31,00;-51,45;4762
-31,00;-51,35;4802
-31,00;-51,25;4822
-31,00;-51,15;4806
-31,00;-51,05;4773
-31,00;-50,95;4702
-31,00;-50,85;4674
-31,00;-50,75;4627
-31,00;-50,65;4666
-30,90;-56,05;5052
-30,90;-55,95;5033
-30,90;-55,85;5034
-30,90;-55,75;5004
-30,90;-55,65;4954
-30,90;-55,55;4905
-30,90;-55,45;4895
-30,90;-55,35;4895
-30,90;-55,25;4898
-30,90;-55,15;4910
-30,90;-55,05;4909
-30,90;-54,95;4910
-30,90;-54,85;4917
-30,90;-54,75;4901
-30,90;-54,65;4902
-30,90;-54,55;4908
-30,90;-54,45;4898
-30,90;-54,35;4915
-30,90;-54,25;4898
-30,90;-54,15;4869
-30,90;-54,05;4839
-30,90;-53,95;4804
-30,90;-53,85;4776
-30,90;-53,75;4770
-30,90;-53,65;4765
-30,90;-53,55;4743
-30,90;-53,45;4730
-30,90;-53,35;4729
-30,90;-53,25;4731
-30,90;-53,15;4705
-30,90;-53,05;4681
-30,90;-52,95;4663
-30,90;-52,85;4663
-30,90;-52,75;4657
-30,90;-52,65;4616
-30,90;-52,55;4596
-30,90;-52,45;4610
-30,90;-52,35;4590
-30,90;-52,25;4588
-30,90;-52,15;4579
-30,90;-52,05;4566
-30,90;-51,95;4568
-30,90;-51,85;4556
-30,90;-51,75;4577
-30,90;-51,65;4598
-30,90;-51,55;4654
-30,90;-51,45;4734
-30,90;-51,35;4789
-30,90;-51,25;4827
-30,90;-51,15;4824
-30,90;-51,05;4811
-30,90;-50,95;4753
-30,90;-50,85;4723
-30,90;-50,75;4701
-30,90;-50,65;4628
-30,90;-50,55;4715
-30,80;-56,05;5050
-30,80;-55,95;5043
-30,80;-55,85;5040
-30,80;-55,75;5022
-30,80;-55,65;4987
-30,80;-55,55;4935
-30,80;-55,45;4912
-30,80;-55,35;4901
-30,80;-55,25;4899
-30,80;-55,15;4902
-30,80;-55,05;4902
-30,80;-54,95;4915
-30,80;-54,85;4917
-30,80;-54,75;4904
-30,80;-54,65;4900
-30,80;-54,55;4916
-30,80;-54,45;4908
-30,80;-54,35;4911
-30,80;-54,25;4898
-30,80;-54,15;4880
-30,80;-54,05;4859
-30,80;-53,95;4827
-30,80;-53,85;4794
-30,80;-53,75;4780
-30,80;-53,65;4775
-30,80;-53,55;4763
-30,80;-53,45;4747
-30,80;-53,35;4750
-30,80;-53,25;4747
-30,80;-53,15;4749
-30,80;-53,05;4716
-30,80;-52,95;4687
-30,80;-52,85;4671
-30,80;-52,75;4668
-30,80;-52,65;4650
-30,80;-52,55;4618
-30,80;-52,45;4599
-30,80;-52,35;4594
-30,80;-52,25;4584
-30,80;-52,15;4564
-30,80;-52,05;4558
-30,80;-51,95;4556
-30,80;-51,85;4533
-30,80;-51,75;4537
-30,80;-51,65;4576
-30,80;-51,55;4621
-30,80;-51,45;4686
-30,80;-51,35;4759
-30,80;-51,25;4814
-30,80;-51,15;4827
-30,80;-51,05;4827
-30,80;-50,95;4819
-30,80;-50,85;4797
-30,80;-50,75;4767
-30,80;-50,65;4692
-30,80;-50,55;4663
-30,70;-56,15;5067
-30,70;-56,05;5062
-30,70;-55,95;5056
-30,70;-55,85;5050
-30,70;-55,75;5015
-30,70;-55,65;4987
-30,70;-55,55;4965
-30,70;-55,45;4927
-30,70;-55,35;4903
-30,70;-55,25;4894
-30,70;-55,15;4903
-30,70;-55,05;4906
-30,70;-54,95;4918
-30,70;-54,85;4919
-30,70;-54,75;4907
-30,70;-54,65;4901
-30,70;-54,55;4908
-30,70;-54,45;4902
-30,70;-54,35;4902
-30,70;-54,25;4907
-30,70;-54,15;4910
-30,70;-54,05;4883
-30,70;-53,95;4862
-30,70;-53,85;4819
-30,70;-53,75;4796
-30,70;-53,65;4785
-30,70;-53,55;4772
-30,70;-53,45;4754
-30,70;-53,35;4754
-30,70;-53,25;4759
-30,70;-53,15;4772
-30,70;-53,05;4758
-30,70;-52,95;4713
-30,70;-52,85;4708
-30,70;-52,75;4697
-30,70;-52,65;4675
-30,70;-52,55;4654
-30,70;-52,45;4628
-30,70;-52,35;4598
-30,70;-52,25;4598
-30,70;-52,15;4578
-30,70;-52,05;4552
-30,70;-51,95;4542
-30,70;-51,85;4501
-30,70;-51,75;4493
-30,70;-51,65;4531
-30,70;-51,55;4585
-30,70;-51,45;4650
-30,70;-51,35;4717
-30,70;-51,25;4791
-30,70;-51,15;4824
-30,70;-51,05;4824
-30,70;-50,95;4817
-30,70;-50,85;4807
-30,70;-50,75;4784
-30,70;-50,65;4720
-30,70;-50,55;4684
-30,70;-50,45;4617
-30,60;-56,25;5072
-30,60;-56,15;5065
-30,60;-56,05;5063
-30,60;-55,95;5054
-30,60;-55,85;5038
-30,60;-55,75;5001
-30,60;-55,65;5002
-30,60;-55,55;4981
-30,60;-55,45;4952
-30,60;-55,35;4919
-30,60;-55,25;4911
-30,60;-55,15;4906
-30,60;-55,05;4896
-30,60;-54,95;4917
-30,60;-54,85;4911
-30,60;-54,75;4898
-30,60;-54,65;4892
-30,60;-54,55;4902
-30,60;-54,45;4896
-30,60;-54,35;4899
-30,60;-54,25;4910
-30,60;-54,15;4908
-30,60;-54,05;4877
-30,60;-53,95;4866
-30,60;-53,85;4835
-30,60;-53,75;4803
-30,60;-53,65;4789
-30,60;-53,55;4783
-30,60;-53,45;4762
-30,60;-53,35;4741
-30,60;-53,25;4750
-30,60;-53,15;4765
-30,60;-53,05;4770
-30,60;-52,95;4751
-30,60;-52,85;4730
-30,60;-52,75;4719
-30,60;-52,65;4698
-30,60;-52,55;4689
-30,60;-52,45;4684
-30,60;-52,35;4654
-30,60;-52,25;4646
-30,60;-52,15;4611
-30,60;-52,05;4573
-30,60;-51,95;4567
-30,60;-51,85;4517
-30,60;-51,75;4510
-30,60;-51,65;4525
-30,60;-51,55;4564
-30,60;-51,45;4606
-30,60;-51,35;4658
-30,60;-51,25;4746
-30,60;-51,15;4812
-30,60;-51,05;4811
-30,60;-50,95;4802
-30,60;-50,85;4795
-30,60;-50,75;4780
-30,60;-50,65;4707
-30,60;-50,55;4685
-30,60;-50,45;4639
-30,60;-50,35;4660
-30,50;-56,45;5106
-30,50;-56,35;5081
-30,50;-56,25;5067
-30,50;-56,15;5077
-30,50;-56,05;5056
-30,50;-55,95;5047
-30,50;-55,85;5030
-30,50;-55,75;5007
-30,50;-55,65;5006
-30,50;-55,55;4987
-30,50;-55,45;4974
